X..Pathway.Id	Pathway.Name	hsa-let-7g-5p(+)	hsa-miR-100-5p(-)	hsa-miR-103a-3p(+)	hsa-miR-106b-5p(+)	hsa-miR-11400(-)	hsa-miR-122-5p(-)	hsa-miR-1273h-3p(-)	hsa-miR-1299(-)	hsa-miR-1307-3p(-)	hsa-miR-146-5p(+)	hsa-miR-148a-3p(-)	hsa-miR-148a-5p(-)	hsa-miR-148b-3p(-)	hsa-miR-151a-3p(-)	hsa-miR-15b-5p(+)	hsa-miR-16-5p(+)	hsa-miR-17-5p(+)	hsa-miR-191-5p(+)	hsa-miR-192-5p(-)	hsa-miR-193b-5p(-)	hsa-miR-197-3p(+)	hsa-miR-20a-5p(+)	hsa-miR-20b-5p(+)	hsa-miR-221-3p(+)	hsa-miR-223-3p(+)	hsa-miR-26b-5p(+)	hsa-miR-27a-5p(-)	hsa-miR-30a-3p(-)	hsa-miR-3168(+)	hsa-miR-335-5p(+)	hsa-miR-361-3p(-)	hsa-miR-361-5p(+)	hsa-miR-3615(-)	hsa-miR-375-3p(-)	hsa-miR-423-3p(-)	hsa-miR-499a-5p(+)	hsa-miR-502-3p(+)	hsa-miR-532-5p(-)	hsa-miR-548o-3p(-)	hsa-miR-582-3p(-)	hsa-miR-652-3p(+)	hsa-miR-664a-5p(-)	hsa-miR-6842-3p(-)	hsa-miR-769-5p(-)	hsa-miR-7706(-)	hsa-miR-93-5p(+)	hsa-miR-941(-)	hsa-miR-98-5p(+)	hsa-miR-99a-5p(-)	hsa-miR-99b-5p(-)
path:hsa00100	Steroid biosynthesis	0	0	0.00325111971210115	0	0	3.04272114835252e-06	0	0	0	0	-2.17366660218124e-05	0	-0.00138649373412288	0.000945877765408163	2.65235265456496e-14	-7.93868940027275e-05	0	6.8590716208794e-13	2.16389003158507e-12	0	-0.000126065083565183	8.33235712131064e-10	0	-1.03300131368198e-11	-5.3623241183758e-07	4.07535997860411e-18	0	0.000528948495747367	0	0	0	0	0	6.90194338943993e-08	0	2.87972997442459e-06	0	0.000349972834768821	0	3.00890335494906e-06	2.50292617658771e-06	0	0	-0.000146278728441752	0	0	3.62075077833032e-10	0.010324114695299	0.000198383037039892	0
path:hsa00120	Primary bile acid biosynthesis	0	0	0.00311848145228599	0	0	5.96951394759146e-08	0	0	0	0	2.42331485500694e-06	0	0.000741006213996449	0.00084825682145397	-4.32996869215691e-05	0.00817812836677749	0	-0.00399995834195363	-0.0126189541261539	0	6.99582488944151e-05	0	0	3.4821843709017e-06	-1.52716527411985e-07	-2.37658937685934e-08	0	0.0117031285660647	0	0	0	0	0	-1.51356393534601e-06	0	8.65897172075392e-05	0	0.000269932733859825	0	2.75826882681696e-05	3.00154455428178e-05	0	0	-0.000952753566417762	0	0	0.00012659718421156	0.00864709454391209	-0.000146068993815343	0
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0.000373184669554708	0	0	-4.54667138656929e-08	0	0	0	0	-3.66234896724021e-07	0	6.6786064249632e-05	1.45283851284177e-05	1.51252122921401e-06	-0.000253943698731159	0	0.000248115796650712	-4.2366689039455e-10	0	-1.85358445430451e-05	-1.63138781533029e-07	0	-0.00020477225642246	-4.25131173877519e-06	6.74092390685568e-07	0	4.36192788417198e-07	0	0	0	0	0	-1.08502171739104e-06	0	-0.00225198939503585	0	0.000101493789371584	0	2.0466807542398e-05	0.000319726272231667	0	0	4.43046195113214e-05	0	0	0.000125588080408582	-1.1239789788782e-05	3.31640760987059e-06	0
path:hsa00140	Steroid hormone biosynthesis	9.74359592765951e-07	1.26686003698555e-05	0.00421779564872799	0	0	-0.00230898700571234	0	0	0	0	0.00037406065763658	0	0.00133881269228059	0.00893474833439705	-5.94180123723395e-05	0.0119572563362503	-4.04408323755104e-06	-0.00776888307164237	-0.0260202708005703	0	-0.00205405534195593	-7.14169442017812e-05	0	2.23393685940733e-06	-9.64530071240351e-07	-9.51152846835585e-06	0	1.00298957876417e-05	0	0	0	0	0	-5.72724917662771e-06	0	0.000170607978428568	0	0.0187769106014512	0	2.16246457160374e-05	-0.0557248122500006	0	0	-0.000827838401827391	0	0	0.000395278437549227	-0.287735199150364	-8.08037757835202e-05	0
path:hsa00190	Oxidative phosphorylation	0	0	0.00673559859956024	0	0	0.0025576419689373	0	0	0	0	1.84801243037023e-06	0	0.00239898062584307	-1.9455896811154e-05	-6.82164922543247e-06	-5.70245103637483e-06	0	0	0	0	0.000130436868800627	0	0	-8.91900609678555e-06	0	0	0	4.01555621834029e-07	0	0	0	0	0	0.000769168878828185	0	-1.89478497276944e-06	0	-6.8594184760116e-05	0	0.000975050120130683	-4.74197505730335e-08	0	0	3.1351305895002e-07	0	0	0	-0.00463081501627111	-8.53554772442714e-08	0
path:hsa00220	Arginine biosynthesis	0	0	0.0199288113346452	0	0	-4.62782659801082e-05	0	0	0	0	-1.27214451304362e-09	0	0.00653792869673266	0.032640195058604	6.5345583625534e-09	5.71680322327475e-05	0	-2.14744973658095e-11	0	0	-0.00500643514463354	0	0	1.74537081242886e-06	-1.07939566686521e-13	0	0	0.000257011743816303	0	0	0	0	0	2.6868167638724e-06	0	-1.22443309418917e-06	0	0.00144995536202832	0	-0.000228402202412904	-0.0509517830250652	0	0	-0.000121187770718444	0	0	1.31400428273283e-10	-0.00410708885532376	2.08455921476958e-05	0
path:hsa00230	Purine metabolism	0	0	0.0369998423160846	0	0	-0.00964589713635372	0	0	0	0	-0.000818772876168939	0	0.00710055356137923	-0.0635985394427251	-1.40406192459315e-05	-5.74177683503919e-05	0	-9.10507949138132e-07	5.06385392368529e-08	0	-0.00444238379201083	1.94990681995926e-05	0	-0.00311913427317918	1.87085917479116e-05	-0.168044234752153	0	0.0227279876738292	0	0	0	0	0	0.00115987195102939	0	-0.0323452112003378	0	0.0021906315782513	0	0.00241427324550851	-0.000283579278711346	0	0	-0.00188725679866866	0	0	0.00180770930384252	0.00474886673564081	-0.000248487949509202	0
path:hsa00232	Caffeine metabolism	0	0	2.46762088171353e-06	0	0	0	0	0	0	0	0	0	8.26969448500382e-06	-1.21259536129088e-07	0	-5.7366987640944e-07	0	0	0	0	-2.18608668751952e-08	0	0	0	0	0	0	0	0	0	0	0	0	-9.10585640508257e-11	0	-3.23132908187496e-09	0	7.49439977691818e-07	0	7.02747646133165e-10	0	0	0	-4.59248207859081e-11	0	0	0	9.14767355436252e-07	0	0
path:hsa00240	Pyrimidine metabolism	0	0	-0.00405126216203404	0	0	0.0843548199446534	0	0	0	0	-1.5697771326123e-10	0	0.000473069155179594	0.0335664810468741	6.68866541900470e-09	1.53737741270033e-05	0	2.03533581359504e-10	0	0	-0.000254456562598824	0	0	6.70217900871422e-09	8.01855475930523e-08	0	0	-0.0117110073223943	0	0	0	0	0	-4.04842334096633e-06	0	6.2175003382544e-07	0	-2.80208406414265e-06	0	0.000457555804119563	7.81750211625263e-05	0	0	0.000539104405487646	0	0	2.15734286812447e-11	-0.00851352528496796	-0.000229284881433787	0
path:hsa00250	Alanine, aspartate and glutamate metabolism	0	0	0.0125205710445976	0	0	-1.02915285250329e-08	0	0	0	0	-1.02670461960016e-10	0	0.00499484817833278	0.000495516418048201	6.47878778869839e-09	5.62298618445434e-05	0	-0.00479707026923821	0	0	-0.000211103139531887	0	0	1.74530218994931e-06	-5.54208998044984e-10	0	0	-0.0111779793072237	0	0	0	0	0	2.13121230027349e-06	0	-2.27503939859636e-06	0	0.000167879978792827	0	-0.000223716767315924	-0.00463524150251889	0	0	0.000175406945809363	0	0	1.07308973324163e-11	-0.00379138367128002	2.19598631795507e-06	0
path:hsa00260	Glycine, serine and threonine metabolism	0	0	0.0147977039010577	0	0	-2.40828653380742e-07	0	0	0	0	2.46603492711398e-13	0	0.000397358201746854	0.00052662591158596	-9.53345347312813e-13	2.86921075142848e-06	0	-5.45695622429569e-07	0	0	-0.0867840418523543	0	0	-8.86544287050515e-05	-5.47377535498002e-07	3.74743368409124e-09	0	-8.00751925344302e-08	0	0	0	0	0	-1.94122232557678e-08	0	-1.26094779854211e-05	0	4.86560663927734e-05	0	0.00625254814454363	1.60197245920826e-05	0	0	-0.000249469937538431	0	0	6.9816537570443e-07	-0.000271860056989972	-2.45166109173791e-07	0
path:hsa00270	Cysteine and methionine metabolism	0	0	0.127277655686873	-0.14291477622381	0	0.00341723223498845	0	0	0	0	-0.00164013980244132	0	0.35101691685015	0.201287002219801	0.0176389617766444	0.0238942983970561	0	-0.0104072939676807	-0.0378568623784617	0	-0.00171485301800242	0	0	-0.00234815696806603	-0.00394753362429582	-9.76778233889187e-06	0	-0.0011205093515105	0	0	0	0	0	0.00175932358960214	0	0.0328049291628989	0	0.0017505548567334	0	0.00246853802659124	-0.2319079191663	0	0	-0.00183904100727831	0	0	-0.00155736292094226	0.0272639809195294	6.98387283097825e-06	0
path:hsa00280	Valine, leucine and isoleucine degradation	0	0	0.00267565609455743	0	0	0.0865121315814956	0	0	0	0	-2.42692162581552e-06	0	0.000403194907544615	-0.000875116180587521	-8.20951486722638e-13	2.7755660018803e-05	0	-3.67132937259418e-07	0	0	-0.00169509033173424	0	0	-9.48445225929099e-07	4.35325189035874e-09	3.12286140340937e-09	0	-2.46762549217465e-07	0	0	0	0	0	-3.73326090552109e-07	0	-5.74282164664228e-05	0	-0.000672450148539216	0	3.96418165973421e-06	-3.00035811211313e-05	0	0	1.73306964918418e-05	0	0	5.81974511148719e-07	-0.00202984019712981	-0.000173910229634881	0
path:hsa00290	Valine, leucine and isoleucine biosynthesis	0	0	-5.6830326609791e-08	0	0	-1.11299467529892e-12	0	0	0	0	-1.10888433428102e-14	0	-4.33856290400463e-06	-2.35016429331243e-09	6.01468732563718e-18	-1.36901810956391e-12	0	-5.18816476541429e-07	0	0	-1.21782013202702e-05	0	0	6.60046342785444e-17	-5.99392414979781e-14	0	0	6.69900475522411e-10	0	0	0	0	0	4.07241527183955e-11	0	-7.88162971424128e-11	0	6.07877932317463e-10	0	3.7796699212519e-07	-8.12636827526852e-10	0	0	-4.6200621956658e-08	0	0	1.15898198346949e-15	3.86869405439032e-09	2.5084106528597e-10	0
path:hsa00310	Lysine degradation	0	0	0.173284481454441	0	0	-0.0138664602958242	0	0	0	0	-0.00245133085227734	0	0.00355916770540005	0.257426681283203	0.0299897624552198	-0.00995503899361697	0	0.00997977162073747	2.39320026331344e-08	0	-0.0123053892164172	9.2153478068085e-06	0	0.00291043980725813	0.00977115585202708	0.0291630048871802	0	-0.0254368209167696	0	0.00225375806660925	0	0	0	0.00446396667717335	0	0.0268962879660913	0	0.000637376220405945	0	0.000110547440718456	-0.322941246231172	0	0	0.00465746078319803	0	0	-0.00259969739676921	-0.029576761006155	-0.00155885080660444	0
path:hsa00330	Arginine and proline metabolism	0	0	0.0203545253271087	0	0	0.0861766112285742	0	0	0	0	-1.29095899045046e-09	0	0.011167849133573	0.0328489094871965	1.47593918222908e-10	-6.69158203468736e-08	0	2.99899684213858e-05	0	0	-0.00473080804923076	0	0	-2.24956050872251e-05	-0.000656596952202012	7.40703689121159e-08	0	0.0113454662506845	0	0	0	0	0	1.13736764445899e-05	0	-0.000246197022417018	0	0.00132699417859232	0	1.2387648353368e-05	-0.0462528659873357	0	0	-0.000718503890509155	0	0	1.37998057485073e-05	-0.00677860008707804	-0.000153792231273137	0
path:hsa00340	Histidine metabolism	0	0	0.00732324606945653	0	0	-7.06244318185043e-09	0	0	0	0	-2.30797639465858e-15	0	-0.000214384911502629	0.00052211604489861	8.5195343527992e-15	-3.9135858432086e-05	0	0	0	0	-0.0175684386577135	0	0	4.78311210487373e-08	0	0	0	-5.01501440739613e-16	0	0	0	0	0	-5.5604919079078e-07	0	3.42830579609062e-07	0	2.46334709493416e-05	0	0.0106625971572497	-0.0467031221958909	0	0	-8.36088668126185e-06	0	0	0	0.00160300007433156	-0.000173305149846379	0
path:hsa00350	Tyrosine metabolism	1.4818173326172e-09	1.92665538959412e-08	0.0209455358638883	0	0	5.8665018754057e-07	0	0	0	0	1.82002504878892e-06	0	0.00102965805782055	0.000531203471895053	-6.70807560450002e-06	-4.15024250145344e-05	-6.15028853868869e-09	1.88265300028832e-07	-1.59721287343803e-11	0	-0.00135630083863554	0	0	-8.73945828008888e-06	-1.78021633216807e-10	-1.43914122357828e-08	0	3.96222282241191e-07	0	0	0	0	0	-9.84281200480165e-06	0	-9.06981100731369e-05	0	-0.00138794845853657	0	0.000980287462648763	-0.0468142598912929	0	0	-0.000238988051995389	0	0	9.52016803258005e-10	-0.000226880763644574	-0.000132312518574964	0
path:hsa00360	Phenylalanine metabolism	0	0	-0.0038420165606551	0	0	-2.8224549716038e-07	0	0	0	0	-9.22366280579628e-14	0	-0.000422005272180077	0.000516187568306799	3.40477105027939e-13	-3.30421695137773e-05	0	0	0	0	-0.000162106167700896	0	0	4.78159749024607e-08	0	0	0	-2.00421468638438e-14	0	0	0	0	0	-4.68864383100466e-07	0	3.41433567854894e-07	0	-8.80828069284538e-05	0	-1.04384973403696e-05	-0.0466879094542977	0	0	-0.000255522190341503	0	0	0	0.0035012508939155	-0.000131972550980205	0
path:hsa00380	Tryptophan metabolism	9.74359592765951e-07	1.26686003698555e-05	0.0298146750252828	0	0	0.00226310143403686	0	0	0	0	1.53699921815144e-06	0	0.000122979162369448	0.0392733878544673	2.98697784935045e-05	-0.00482392569699521	-4.04408323755105e-06	0.00047735579238742	-1.05023719905809e-08	0	-0.00232438404406468	0	0	-0.00311656504010966	1.86805542541998e-05	7.95617831982841e-07	0	-3.70786769347472e-08	0	0	0	0	0	-0.000685136289299483	0	-0.0586234400186617	0	-0.000646860660586368	0	6.81488258384755e-05	-0.0532302825074194	0	0	-0.000305235085013103	0	0	0.0019119200622987	0.000689102342423534	-0.000117041224770125	0
path:hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis	0	0	1.00918837225446e-06	0	0	0	0	0	0	0	0	0	2.56512343357609e-06	0	0	0	0	0	0	0	-1.99973232262172e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.74954699133914e-08	0	9.14987686147878e-06	0	0	0	0	0	0	0	1.06756588555143e-05	0	0
path:hsa00410	beta-Alanine metabolism	0	0	-0.0142472552601377	0	0	0.00182249605686171	0	0	0	0	-1.25226099602535e-09	0	6.09486737508242e-05	0.0352698495738188	6.73060739303544e-09	-9.92798023646627e-05	0	2.03803254806884e-10	0	0	-0.000147492473303334	0	0	5.45584933576906e-08	2.46457348156157e-08	0	0	-0.011682039567939	0	0	0	0	0	1.06582520617069e-05	0	8.22012472098907e-07	0	0.0209261477670108	0	2.4430464715636e-05	-0.0466681031530087	0	0	0.000442851232098406	0	0	1.3435898417837e-10	-0.00444175783738081	-0.000228372991765197	0
path:hsa00430	Taurine and hypotaurine metabolism	0	0	-2.92700226972453e-06	0	0	0	0	0	0	0	0	0	1.95658602859783e-05	-3.3439280661287e-05	0	-1.21770866593931e-05	0	0	0	0	-2.02285026695549e-07	0	0	0	0	0	0	0	0	0	0	0	0	-1.02963871027903e-14	0	-4.36828762504276e-13	0	2.62946517266937e-09	0	4.34582789656129e-05	0	0	0	1.63876241809172e-09	0	0	0	1.9854228792855e-06	0	0
path:hsa00440	Phosphonate and phosphinate metabolism	0	0	-1.09433418913449e-06	0	0	0	0	0	0	0	0	0	1.68836021428877e-05	0	0	0	0	0	0	0	-2.91644633215111e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24420599350875e-07	0	2.0548039748166e-09	0	0	0	0	0	0	0	2.20676736226707e-10	0	0
path:hsa00450	Selenocompound metabolism	0	0	0.0142703798683618	0	0	5.96876546144703e-08	0	0	0	0	2.42331482215567e-06	0	0.000273745619977893	0.000774468138876454	-4.32996870059586e-05	0.00817510298563309	0	-0.00400149529875918	-0.0126189541261539	0	-0.000125510997055586	0	0	3.48216754729216e-06	-1.52717132462575e-07	-2.37658937685934e-08	0	5.12860509687025e-06	0	0	0	0	0	-1.43907413796608e-06	0	8.64316440263475e-05	0	0.000966837855500612	0	0.00207793065346427	-5.40454268597234e-06	0	0	-0.000363926560130741	0	0	0.000126597778607537	0.00812724750620145	2.49640389740767e-05	0
path:hsa00470	D-Amino acid metabolism	0	0	0.000212877780652936	0	0	0	0	0	0	0	0	0	-0.000150063251987481	0.000397138711703313	6.47873217512013e-09	5.66917340825765e-08	0	0	0	0	3.76125439628258e-05	0	0	6.4750615191727e-09	0	0	0	-0.0114411854557494	0	0	0	0	0	1.18435999594138e-08	0	-1.84929156797499e-07	0	-1.49259347718803e-05	0	-2.04943559633484e-06	1.83711091871069e-08	0	0	0.000897474418314147	0	0	0	-0.00156007070307338	-7.20920365135835e-08	0
path:hsa00480	Glutathione metabolism	-9.54121929298918e-05	2.06258270165114e-07	0.0173850320889051	0	0	0.0866023374635936	0	0	0	0	6.27909790985018e-06	0	0.00164895680186791	-0.0791866998491018	-5.33859004667292e-05	0.00716195501082885	-6.58419705909884e-08	-0.00430681753314372	-0.0135896430762187	0	3.22236644082513e-07	-5.39499986329327e-11	0	-0.00318525776555506	1.79236425391928e-05	9.93840952165505e-06	0	1.4469974061296e-05	0	0	0	0	0	-2.77061327701032e-05	0	-0.0342621803873076	0	0.000307193598693044	0	0.00102927697502457	0.0482352737772891	0	0	0.000473202194226413	0	0	0.00202146282782704	0.00281694221547937	-0.000142270197392507	0
path:hsa00500	Starch and sucrose metabolism	0	0	-0.00192669459227665	0	0	0.192477478048388	0	0	0	0	-1.49133279093447e-09	0	-0.022928867382904	-0.0655088843668581	2.53450739435538e-05	0.000374750560558849	0	1.48332765183821e-12	4.67958070246199e-12	0	-0.00102469734399453	1.80193711426015e-09	0	-0.00333430092667716	-6.4076933059033e-07	8.81328331527643e-18	0	-0.0117073095710555	0	0	0	0	0	-0.00190132013226356	0	-0.0674875223690683	0	-6.51458184031463e-05	0	0.00018662395734356	-0.000145944722690403	0	0	-0.0501639902787096	0	0	0.000133211830925364	-0.00498806272833596	-0.000188493896423688	0
path:hsa00510	N-Glycan biosynthesis	-0.352284923391692	0	0.00427177303979101	0	0	0.00617200989103908	0	0	0	0	-7.60759357631829e-07	0	0.000526417065676798	0.00410148976610394	2.67407641016162e-05	-0.0045293488693652	0	2.75684367715683e-05	0	0	-0.000268955012559455	0	0	-2.0452813562467e-05	-4.06826668404778e-07	6.73366990110144e-08	0	0.0114411594673386	0	0	0	0	0	0.000595080745618296	0	-0.000224670100903443	0	0.000291719538759458	0	8.26120665375029e-06	-0.0462882643617972	0	0	-0.000209637848946007	0	0	1.26193584800551e-05	-0.0119599414391725	-0.000171067198432723	0
path:hsa00512	Mucin type O-glycan biosynthesis	0	0	0.00841744915742848	0	0	0.0934739045597412	0	0	0	0	4.47422304027643e-07	0	0.000856119388376528	-0.0330392589104072	-2.16041858079128e-05	0.00866247758247969	0	-0.00434073124055749	-0.0136940763712684	0	-0.000397496010737241	0	0	3.77224379351355e-06	-1.65915677114978e-07	-2.579072410003e-08	0	5.64668712644016e-06	0	0	0	0	0	0.00175558688542749	0	9.41959110340015e-05	0	0.000387985465159287	0	4.69015077541997e-06	-0.142467459329763	0	0	-0.000437033795858837	0	0	0.000137611910882633	0.00879476791408102	-0.000148462815037976	0
path:hsa00513	Various types of N-glycan biosynthesis	0	0	0.00113289721427119	0	0	-2.89632112358715e-06	0	0	0	0	-7.08556304361865e-07	0	0.00067758068825628	-9.03112257229195e-06	3.49387693093957e-12	-6.68702664131436e-05	0	0	0	0	-0.000258396178413276	0	0	-2.11357475837363e-09	-5.33069254542235e-07	0	0	0.0114411073988024	0	0	0	0	0	0.000546582047698935	0	2.77491277108681e-07	0	0.000240763435670889	0	6.53440060761814e-07	-0.0462067145201938	0	0	-0.000116586457835364	0	0	7.40675609326074e-08	-0.00378386658527817	-0.000171500120022597	0
