X..Pathway.Id	Pathway.Name	hsa-let-7b-3p(-)	hsa-let-7g-5p(-)	hsa-miR-100-5p(+)	hsa-miR-126-3p(+)	hsa-miR-1301-3p(-)	hsa-miR-139-5p(+)	hsa-miR-142-3p(+)	hsa-miR-145-3p(+)	hsa-miR-146-5p(-)	hsa-miR-148-3p(-)	hsa-miR-148a-3p(+)	hsa-miR-15a-5p(-)	hsa-miR-185-5p(-)	hsa-miR-20a-5p(-)	hsa-miR-221-3p(-)	hsa-miR-27a-3p(+)	hsa-miR-32-5p(+)	hsa-miR-320a-3p(-)	hsa-miR-335-5p(-)	hsa-miR-345-5p(+)	hsa-miR-378c(-)	hsa-miR-501-3p(-)	hsa-miR-582-3p(+)	hsa-miR-7-5p(+)	hsa-miR-99b-5p(+)
path:hsa00100	Steroid biosynthesis	-3.97140751355126e-05	0	0	0	-1.04489777771044e-09	-0.000173407031543718	0	0	0	0	2.08224943198759e-05	-4.87988932212751e-07	0	-8.42442156406346e-10	1.0580883467153e-11	0	0	0	0	0	0	0	-2.89090162575152e-06	1.15124293281047e-13	0
path:hsa00120	Primary bile acid biosynthesis	4.13348977088848e-06	0	0	0	-9.31021291309766e-10	-0.000161370163400125	0	0	0	0	-2.32139831163702e-06	-8.53919048938256e-07	0	0	-3.56675122786877e-06	0	0	0	0	0	0	0	-2.65009636238047e-05	2.53621671484326e-07	0
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	1.16621809542343e-07	0	0	0	0.000291201836895304	-0.000633295695513068	0	0	0	0	3.50832278010058e-07	0.000355740743976459	0	1.64941306412189e-07	0.000209745268840874	0	0	0	0	0	0	0	-1.96641500967263e-05	-0.000215159792939118	0
path:hsa00140	Steroid hormone biosynthesis	-3.62184495844345e-07	-1.01601724566412e-06	-1.24356798016833e-05	0	0.000238250117649648	0.022677004884842	0	0	0	0	-0.000358328913510044	0.00976473977988829	0.00106569073676545	7.22060319803438e-05	-2.28818930521164e-06	0	0	0	0	0	0	0	-2.07765807279813e-05	3.93815846996252e-07	0
path:hsa00190	Oxidative phosphorylation	0.00509083325257444	0	0	0	2.18751021218583e-10	-6.58662216584104e-05	0	0	0	0	-1.77029118889852e-06	4.7938702562866e-06	0	0	9.13560930687923e-06	0	0	0	0	0	0	0	-0.000936811071993611	5.98786110704048e-08	0
path:hsa00220	Arginine biosynthesis	-2.1890589816905e-05	0	0	0	-1.19870502506318e-09	0.0240881851282768	0	0	0	0	1.21864235620728e-09	4.99895612379994e-06	0	0	-1.78775814983769e-06	0	0	0	0	0	0	0	0.000219444834342932	-0.000725164027668239	0
path:hsa00230	Purine metabolism	-0.0730203244724481	0	0	0	-9.3323399518923e-10	-0.226328208809512	0	0	0	0	0.000784338018819809	1.66750357939127e-05	0	-1.97145139398386e-05	0.00319488424901195	-5.97420315351711e-05	0	0	0	0	0	0	-0.00231959143485587	-8.17052929807528e-06	0
path:hsa00232	Caffeine metabolism	3.74073507928095e-11	0	0	0	2.93955221888606e-05	7.67168757036417e-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.75187625869694e-10	0	0
path:hsa00240	Pyrimidine metabolism	1.52372349176035e-06	0	0	0	1.42889566711331e-07	-0.000164963630791957	0	0	0	0	1.50375754011633e-10	1.97945652298618e-06	0	0	-6.86494529367428e-09	-0.118038727420414	0	0	0	0	0	0	-0.000439611599962367	-2.96780576177139e-07	0
path:hsa00250	Alanine, aspartate and glutamate metabolism	-8.63320268582107e-06	0	0	0	-6.5740559796612e-10	0.0039006126432902	0	0	0	0	9.83524846375324e-11	-3.69260435700696e-07	0	0	-1.78768786082162e-06	0	0	0	0	0	0	0	0.000214943150393219	0.00283763057389432	0
path:hsa00260	Glycine, serine and threonine metabolism	6.72687353707557e-08	0	0	0	1.02365226548741e-06	-0.000116773130686391	0	0	0	0	-2.36232171994172e-13	0.00297960108142954	0	0	9.08074526673801e-05	0	0	0	0	0	0	0	-0.00600733870910812	2.03059912573699e-07	0
path:hsa00270	Cysteine and methionine metabolism	5.4676857448885e-05	0	0	0	-7.51712599454034e-09	0.0207694849223288	0	0	0	0	0.00157116099064437	-2.10281371501144e-05	0	0	0.00240518331512395	-5.97420315351711e-05	0	0	0	0	0	0	-0.0023717280857706	-0.000107783751937022	0
path:hsa00280	Valine, leucine and isoleucine degradation	-3.08981890703684e-06	0	0	0	1.56362088006028e-10	-0.000164260389653871	0	0	0	0	2.32485339369051e-06	0.00244878882542815	0	0	9.71478765575217e-07	-0.000108054803954009	0	0	0	0	0	0	-3.80871628397449e-06	-0.00351499799531809	0
path:hsa00290	Valine, leucine and isoleucine biosynthesis	4.10700610078034e-11	0	0	0	8.61367658507749e-16	-2.16965815636109e-10	0	0	0	0	1.06224835624726e-14	9.86436720175023e-14	0	0	-6.76075949123469e-17	0	0	0	0	0	0	0	-3.6314406383904e-07	1.1130717940295e-19	0
path:hsa00310	Lysine degradation	0.000171810532447891	0	0	0	7.04590495080074e-09	0.0521073098908778	0	0	0	0	0.00234823604946871	0.0137052431870103	0.000882820728681439	-9.31716843790426e-06	-0.00298112151755136	0.00113509859916825	0	0	-0.00229518551448936	0	0	0	-0.000106212044188792	-0.00723224225707207	0
path:hsa00330	Arginine and proline metabolism	2.58260767671304e-05	0	0	0	0.000201021381995856	0.0182370721475871	0	0	0	0	1.23666555942263e-09	4.94150768734948e-06	0	0	2.30419238386663e-05	0	0	0	0	0	0	0	-1.19018354993313e-05	-0.0035477457597675	0
path:hsa00340	Histidine metabolism	-1.98669071082817e-06	0	0	0	0.000238435327997125	0.000168198322996943	0	0	0	0	2.21091060238772e-15	3.21912286962204e-06	0	0	-4.89927274260744e-08	0	0	0	0	0	0	0	-0.0102444365339706	-1.07448164397991e-10	0
path:hsa00350	Tyrosine metabolism	2.68168782613685e-05	-1.54517077272181e-09	-1.89123256032215e-08	0	0.000127409686582291	0.000215536380622813	0	0	0	0	-1.74348086327543e-06	1.45713874761811e-05	4.1943755600889e-07	0	8.95170106783952e-06	0	0	0	0	0	0	0	-0.000941843018923787	5.88115373635426e-08	0
path:hsa00360	Phenylalanine metabolism	-1.97213912756332e-06	0	0	0	1.00682861278562e-06	0.000203832848900521	0	0	0	0	8.83574630025666e-14	3.24383992172929e-06	0	0	-4.89772134468949e-08	0	0	0	0	0	0	0	1.00291253562673e-05	-1.0741607885476e-10	0
path:hsa00380	Tryptophan metabolism	0.000802703716707597	-1.01601724566412e-06	-1.24356798016833e-05	0	0.000127943960134513	0.0231542471882433	0	0	0	0	-1.47235815545477e-06	0.0093698063012012	0.00106569073676545	0	0.00319225262063466	0	0	0	0	0	0	0	-6.54761978597485e-05	-0.0034967446067145	0
path:hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8.79104137750645e-06	0	0
path:hsa00410	beta-Alanine metabolism	5.65480606258585e-05	0	0	0	0.000223717912636963	-2.03846096302669e-05	0	0	0	0	1.19959507362233e-09	5.08684241168673e-06	0	0	-5.58834778538227e-08	-0.105363237356584	0	0	0	0	0	0	-2.34723624632646e-05	-0.00346101758728819	0
path:hsa00430	Taurine and hypotaurine metabolism	1.90753526198816e-12	0	0	0	0.000623996782544759	-3.9201774593363e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.17539530166067e-05	0	0
path:hsa00440	Phosphonate and phosphinate metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.97421965767942e-09	0	0
path:hsa00450	Selenocompound metabolism	9.3681617867746e-07	0	0	0	1.85120819518387e-05	-3.43202699096163e-05	0	0	0	0	-2.32139828016735e-06	-1.89548566506004e-08	0	0	-3.56673399568817e-06	0	0	0	0	0	0	0	-0.00199643936533165	2.53621860915015e-07	0
path:hsa00470	D-Amino acid metabolism	-4.85275868246846e-07	0	0	0	-6.67581287488863e-10	0.0042488029411654	0	0	0	0	0	-1.79514567896459e-07	0	0	-6.63231212483292e-09	0	0	0	0	0	0	0	1.96906181369116e-06	-5.23856591036988e-11	0
path:hsa00480	Glutathione metabolism	6.78563145302654e-05	9.94914343566051e-05	-2.02466075915197e-07	0	0.0844142726763529	-0.000447201765090142	0	0	0	0	-6.01501998653326e-06	5.72872404129579e-05	0.00435140051406206	5.45460936500262e-11	0.00326261358855911	0	0	0	0	0	0	0	-0.000988911284090575	1.99957121296952e-06	0
path:hsa00500	Starch and sucrose metabolism	0.00211489267838987	0	0	0	-1.38809926850898e-09	0.00450674198252445	0	0	0	0	1.42861230591279e-09	-1.19864148689539e-06	0	-1.82184676694122e-09	0.00341527634885978	0	0	0	0	0	0	0	-0.00017930502845872	7.37603515932385e-06	0
path:hsa00510	N-Glycan biosynthesis	7.99373141711107e-05	0.367346470657059	0	0	9.82555684632814e-11	-0.000643642255750908	0	0	0	0	7.28764355452907e-07	0.0062619741776126	0	0	2.09495219428632e-05	0	0	0	0	0	0	0	-7.93722261192408e-06	-0.00355399218479535	0
path:hsa00512	Mucin type O-glycan biosynthesis	2.31709837884278e-06	0	0	0	-1.20598985421885e-09	-0.000457084282815992	0	0	0	0	-4.28605213644654e-07	-1.54185754708014e-05	0	0	-3.86385491094797e-06	0	0	0	0	0	0	0	-4.50621469093709e-06	-0.00351986542829319	0
path:hsa00513	Various types of N-glycan biosynthesis	1.66943743413138e-06	0	0	0	-8.29034507082858e-10	-0.000525026919077414	0	0	0	0	6.78756788556346e-07	4.92334755991116e-06	0	0	2.16490414109506e-09	0	0	0	0	0	0	0	-6.27813761741602e-07	2.35617056031776e-11	0
path:hsa00515	Mannose type O-glycan biosynthesis	-1.04599693628275e-06	0	0	0	1.22290354946329e-10	0.00297216715654477	0	0	0	0	6.80163512053302e-07	-6.07618508236315e-06	0	0	-0.00172946394336257	0	0	0	0	0	0	0	-6.37307852293706e-07	-6.71779350592565e-06	0
path:hsa00520	Amino sugar and nucleotide sugar metabolism	0.00015678791685367	0	0	0	-7.03666980564224e-10	2.06786281304638e-05	0	0	0	0	1.42981101264256e-09	-5.05332861880932e-07	0	5.11220322968129e-10	0.00359483582300157	0	0	0	0	0	0	0	1.19548518579292e-05	7.7697228527953e-06	0
path:hsa00524	Neomycin, kanamycin and gentamicin biosynthesis	0.000143472174116262	0	0	0	-7.03110272831111e-10	-3.84720427901673e-05	0	0	0	0	1.42816568053949e-09	-5.05031694752163e-07	0	4.68220482718473e-10	0.0033554322596855	0	0	0	0	0	0	0	1.18493713210893e-05	7.2448774454269e-06	0
path:hsa00531	Glycosaminoglycan degradation	1.68372048678877e-06	0.000373407156035794	-0.00300825839610332	-0.000942107233605621	2.14617314281221e-06	-0.0002593399580179	0	0	0	0	-0.0010555571288687	1.09988210778682e-06	0	-9.2774651929822e-07	-5.66753317832329e-06	0	0	0	0	0	0	0	-9.55476947494068e-06	-6.14534713155685e-06	0
path:hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	-8.7988151070134e-10	0	0	0	-1.34594456849728e-23	-3.44983570217915e-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.50862546866454e-13	0	0
path:hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	-1.24955383894987e-08	0	0	0	-1.9114280526692e-22	-4.89932858697084e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.16187045337562e-12	0	0
path:hsa00561	Glycerolipid metabolism	-0.00480646810554471	1.03246406454387e-06	0	0	0.00406766242614179	-0.000719656614119439	0	0	0	0	-6.58357722551675e-11	-8.76270437098704e-05	0	0.00015200794862526	-1.09733155101428e-05	0	0	0	0	0	0	0	3.2422216952777e-06	-1.11936549637003e-06	0
path:hsa00562	Inositol phosphate metabolism	0.0154788784729999	-7.69548942497757e-06	-0.0540815066291057	0	0.00338505780695391	-0.182339926962004	0	-1.86695823307242	0	0	-0.020023735855301	0.00608686299180254	0.00141894667727341	-0.003363809375871	0.000214657183200691	0.00739007943474706	0	0	0.0154578283675648	0	0	0	0.107546819302176	0.0216718910400577	0
path:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	-4.85003492295757e-08	0	0	0	4.17573021846207e-13	-3.69714009492396e-05	0	0	0	0	0	2.63871103201024e-06	0	0	-4.91267680378382e-08	0	0	0	0	0	0	0	1.17157897329841e-05	-1.07742085024864e-10	0
path:hsa00564	Glycerophospholipid metabolism	-0.0170656355856077	7.44595451304404e-05	0	0	0.293352881308392	0.00432190040593761	0	0	0	0	2.82163034085316e-10	0.00602737065843962	0	6.11707716198019e-05	-0.00194803909524949	0	0	0	0	0	0	0	9.17392539582676e-06	-0.00345809615259351	0
path:hsa00565	Ether lipid metabolism	1.82124132173039e-05	6.69066356765971e-05	0	0	0.263596215851436	0.000157676213986712	0	0	0	0	-8.79562616317858e-10	0.000220814788649888	0	0	0.00308685421491434	0	0	0	0	0	0	0	1.64519866251593e-06	1.70912655491303e-05	0
path:hsa00590	Arachidonic acid metabolism	0.000178638468843981	0.0010318268887176	-0.236283538744454	0	8.33436583951839	-0.00361028072380709	0	0	0	0	0.00243949922650635	0.00035140844480509	0.199697106691902	-9.63429077732767e-06	2.09585904398921e-07	5.97420315351711e-05	0	0	0	0	0	0	-3.12894375841691e-05	-0.00359423759426095	0
path:hsa00591	Linoleic acid metabolism	-5.83315205094426e-07	0.00649837667525967	0	0	0.2545125902845	-0.000335857129683381	0	0	0	0	6.78756944798021e-07	0.0002176191809498	0	0	-4.08622224310796e-06	0	0	0	0	0	0	0	1.43328144579571e-05	-4.40138436090707e-08	0
path:hsa00592	alpha-Linolenic acid metabolism	-5.03785852232727e-07	6.45724062836317e-05	0	0	0.254399908082551	-9.6788048466663e-06	0	0	0	0	2.9316298876766e-15	0.000211533313309593	0	0	-4.03999102078592e-06	0	0	0	0	0	0	0	3.42795188530142e-06	-4.39314769320851e-08	0
path:hsa00600	Sphingolipid metabolism	-1.07943396726295e-05	0	0	0	-6.48022896743843e-10	0.00254686549985384	0	0	0	0	-1.04349013774389e-09	0.00566821580232176	0	0	0.0936908148168047	0	0	0	0	0	0	0	0.000352188874578849	0.0223504437114927	0
path:hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	-7.99328155537927e-05	0	0	0	1.48246764655581e-10	0.00127611515006299	0	0	0	0	6.80163512053302e-07	5.82602835530534e-06	0	0	-1.39128676050872e-05	0	0	0	0	0	0	0	0.0022245263586054	0.028274186299239	0
path:hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series	-7.98205819049727e-05	0	0	0	2.57780016999036e-11	-0.000182975260940718	0	0	0	0	0	2.54299160911098e-06	0	0	-1.77457707508929e-05	0	0	0	0	0	0	0	0.00222718466499435	0.0282771027228672	0
path:hsa00604	Glycosphingolipid biosynthesis - ganglio series	5.83619002853868e-07	0	0	0	-8.32939669976675e-10	-0.000197371429545297	0	0	0	0	-3.98494969703044e-11	-5.02411303858435e-07	0	0	-8.36706728808215e-11	0	0	0	0	0	0	0	-8.01441661522646e-07	-1.62424021029684e-08	0
path:hsa00620	Pyruvate metabolism	0.00135428476663564	0	0	0	0.000125781067081224	0.00269034973137464	0	0	0	0	-9.46024491310041e-07	0.00245610059039845	0	1.86072035989419e-08	0.0101019365851375	0	0	0	0	0	0	0	-1.36666785500398e-05	-0.00702354063474926	0
path:hsa00630	Glyoxylate and dicarboxylate metabolism	0.000656035295817132	0	0	0	-3.78940453671604e-10	-0.000348702165362781	0	0	0	0	3.78872755282012e-07	-3.50974151440801e-05	0	-1.16087722988051e-09	-1.47347536665304e-08	0	0	0	0	0	0	0	-1.67076196533091e-06	-0.00351426279931427	0
path:hsa00640	Propanoate metabolism	3.07435782007377e-05	0	0	0	-1.23342015882772e-09	0.00262470850814807	0	0	0	0	1.37431907924748e-06	1.21744644687358e-06	0	0	0.00687075360414801	0	0	0	0	0	0	0	5.01867598858234e-06	1.49216814230058e-05	0
path:hsa00650	Butanoate metabolism	-2.94082042489185e-06	0	0	0	7.15853637357758e-07	-0.000467383982050371	0	0	0	0	2.32485335450619e-06	0.00244829287808187	0	0	9.71479112876634e-07	0	0	0	0	0	0	0	-1.54867153089929e-06	-0.00351499799531579	0
path:hsa00670	One carbon pool by folate	-1.65142395267485e-07	0	0	0	-1.47435852014521e-09	-6.69355663627143e-05	0	0	0	0	3.06244679025343e-10	-3.03689080038439e-05	0	0	0.00301649190327982	0	0	0	0	0	0	0	-0.000256029628373272	-0.00354749609149802	0
path:hsa00730	Thiamine metabolism	8.18748563089303e-07	0	0	0	8.2707816949081e-10	-0.000388171840887153	0	0	0	0	0.000787358041288181	5.35702864704831e-06	0	0	-4.90317299990516e-08	0	0	0	0	0	0	0	-3.23570994025547e-05	-0.00356227171506702	0
path:hsa00740	Riboflavin metabolism	2.03918459125664e-05	0	0	0	7.68831508648735e-11	-0.00816787693454072	0	0	0	0	1.19811541490217e-09	2.08491127983643e-06	0	0	3.45707276329005e-12	0	0	0	0	0	0	0	-0.00024751482984138	-0.00354513937672428	0
path:hsa00750	Vitamin B6 metabolism	5.2972448406224e-07	0	0	0	-1.93763286856929e-21	1.10690157585874e-07	0	0	0	0	0	1.37163886056178e-13	0	0	1.39649508903187e-07	0	0	0	0	0	0	0	5.92051055364885e-09	3.06271506612013e-10	0
path:hsa00760	Nicotinate and nicotinamide metabolism	0.000203620530449603	6.39761517077322e-08	-0.0026158768661768	0	0.141747775189741	0.0222932984202295	-0.0212162471673172	0	0	0	1.44459440267957e-06	0.000150470487943574	0	0.00242818504792936	1.61580570432188e-05	5.94912625139123e-05	0	0	0	0	0	0	-0.0585050381321213	0.0414466203877719	0
path:hsa00770	Pantothenate and CoA biosynthesis	-7.88795245035136e-07	0	0	0	-1.69388285914699e-09	-5.19006734799112e-07	0	0	0	0	1.47908362595895e-11	-2.10126199001187e-07	0	0	-6.84808423054421e-09	-0.105363237356584	0	0	0	0	0	0	-0.000239753368154044	-5.39866526453743e-11	0
path:hsa00780	Biotin metabolism	7.50766678631946e-07	0	0	0	0	3.09751908191755e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.93359815175005e-11	0	0
path:hsa00785	Lipoic acid metabolism	-1.01772443547268e-10	0	0	0	-1.10977786597473e-15	1.07134733337476e-08	0	0	0	0	0	-2.30894978783565e-13	0	0	2.33946573114557e-17	0	0	0	0	0	0	0	-1.76210441765931e-09	5.13078563449768e-20	0
path:hsa00790	Folate biosynthesis	2.85078764778359e-05	0	0	0	-6.47398891271457e-10	9.5039675434358e-05	0	0	0	0	-1.74474401615332e-06	1.1513670180147e-05	0	0	0.00302544174130621	0	0	0	0	0	0	0	-0.000923400947312602	-9.85611986485822e-05	0
path:hsa00830	Retinol metabolism	2.0408539828837e-05	-1.02702104254857e-06	-1.25703622544092e-05	0	0.000339563381302892	-4.63341207422079e-05	0	0	0	0	6.7876927965143e-07	0.002604832156193	0	0	9.70288798042566e-07	0	0	0	0	0	0	0	9.99391743678798e-06	1.88018884881484e-09	0
path:hsa00860	Porphyrin metabolism	1.95959273481586e-05	0	0	0	2.4974919888818e-06	-0.000475070412963223	0	0	0	0	2.27661667487201e-07	0.00298209460604707	0	0	1.1171474619665e-06	0	0	0	0	0	0	0	6.46090350285943e-06	6.35581090930895e-09	0
path:hsa00900	Terpenoid backbone biosynthesis	0.171736426731713	0	0	0	-9.11564823675705e-10	-0.000305607383463751	0	0	0	0	2.76271704761349e-05	0.0108255431320725	0	0	1.93613925811782e-06	-0.0893740791766159	0	0	0	0	0	0	7.0615435831224e-06	-0.00351499266334701	0
path:hsa00910	Nitrogen metabolism	-7.33068323294239e-06	0	0	0	2.1973045071389e-12	-0.000305701259587482	0	0	0	0	1.00289650330412e-13	-1.93524684962612e-07	0	0	0.00167401305191476	0	0	0	0	0	0	0	0.000226618269559324	0.00284140891437901	0
path:hsa00920	Sulfur metabolism	7.96320715788709e-09	0	0	0	0.000391042535568701	2.4713309579633e-08	0	0	0	0	-9.53374462555936e-14	1.90430504359438e-06	0	0	3.92648908101816e-07	0	0	0	0	0	0	0	-7.8282713111116e-06	2.17704135980946e-09	0
path:hsa00970	Aminoacyl-tRNA biosynthesis	8.53494316183487e-07	0	0	0	3.31854008749815e-05	-0.00154588745958553	0	0	0	0	7.0068702975263e-07	-4.66386577220415e-06	0	0	2.40652066710553e-09	0	0	0	0	0	0	0	-0.000106310825524216	-1.49177765492675e-07	0
path:hsa00980	Metabolism of xenobiotics by cytochrome P450	9.26655636433224e-07	-1.22607203280174e-06	-1.58850891845025e-05	0	0.0712247603889542	0.0239157853451073	0	0	0	0	2.01727772391321e-06	0.0134007613437155	0.00309341129635779	0	2.35816796432407e-06	0	0	0	0	0	0	0	1.57057751479247e-05	-1.73419545110547e-07	0
path:hsa00982	Drug metabolism - cytochrome P450	-9.5137548258558e-07	3.60948370563455e-08	-2.08239890901503e-07	0	0.0461224496965021	-0.000278849820687872	0	0	0	0	9.09348135977321e-07	6.31214934380329e-05	0.00146757096178383	0	-7.85702576603244e-08	0	0	0	0	0	0	0	2.59351282262644e-05	-4.63101154835821e-10	0
path:hsa00983	Drug metabolism - other enzymes	6.1807901637659e-07	3.5006403069819e-08	-2.03993614167903e-07	0	0.0140727134527521	-0.000792138893877059	0	0	0	0	9.03138049870261e-07	6.13038477509828e-05	0.00142791430746728	0	1.17089222358709e-08	-0.127609295770626	0	0	0	0	0	0	-1.23774538967691e-05	-2.97129101322231e-10	0
path:hsa01040	Biosynthesis of unsaturated fatty acids	-1.29102861655064e-05	0.00021495986973798	0	0	0.846890712957352	-6.08784516385369e-06	0	0	0	0	3.62283155175484e-06	0.00375354789514221	0	0	1.46832242729761e-06	0	0	0	0	0	0	0	9.32926483447816e-08	8.14007367257782e-09	0
path:hsa01100	Metabolic pathways	-0.0579179984682253	0.368957175405612	-0.294050535637679	-0.000335172765802	8.52673843691151	-0.410118624451251	-0.0212162471673172	-1.86695823307242	0	0	-0.0183160962282151	0.0307364631780285	0.191367615534155	-0.000746056443427048	0.127182844165223	-0.199963235899768	0	0	0.0131626428530754	0	0	0	0.0320247704786213	0.0715183143780282	0
path:hsa01200	Carbon metabolism	0.000243358619845484	0	0	0	1.23484240358202e-08	0.00488996027210322	0	0	0	0	-6.13586398351354e-06	0.00954761144535094	0	1.40083298824338e-08	0.0211948973975429	0	0	0	0	0	0	0	-0.000710035391333041	-0.0119849050636261	0
path:hsa01210	2-Oxocarboxylic acid metabolism	2.55889740443337e-05	0	0	0	-7.882312356597e-11	-0.000153474606481644	0	0	0	0	-2.43822493379678e-06	5.9103072778839e-08	0	0	0.00316396976783672	0	0	0	0	0	0	0	-8.46027864568419e-06	1.517155317604e-06	0
path:hsa01212	Fatty acid metabolism	0.000663571884031592	0	0	0	1.79397200571864e-08	-0.00042924643120772	-0.00292503407637644	0	0	0	-4.77048484697268e-07	0.00931600284140041	0	5.01664802912649e-09	8.86140181315195e-06	-3.4572934916187e-08	0	0	0	0	0	0	-0.000995926820557361	-0.00362334386155404	0
path:hsa01230	Biosynthesis of amino acids	2.323580786503e-05	0	0	0	-1.02146255863599e-09	0.00065509197653522	0	0	0	0	-1.7443294028127e-06	2.29739541814544e-06	0	1.42290380462497e-08	0.0118874065195531	0	0	0	0	0	0	0	-0.00087036114920818	-0.00711259040619781	0
path:hsa01232	Nucleotide metabolism	2.89907837986715e-05	0	0	0	1.42935098570132e-07	-0.000671694224984797	0	0	0	0	0.000786297806719953	1.23610052439455e-05	0	1.82423564695509e-09	8.97250640794653e-06	-0.00198468007262466	0	0	0	0	0	0	-0.00137228417211057	-9.09743638974874e-06	0
path:hsa01240	Biosynthesis of cofactors	6.48778030512063e-06	0	0	0	0.0294966871523775	-0.00200824889025752	0	0	0	0	0.000787935621966703	0.00329907313784004	0	1.64941306412189e-07	0.00150241139732252	0	0	0	0	0	0	0	-0.00489401671184271	-0.00380967163741406	0
